dataset,feature,accuracy,macro_f1,auc
danenberg,PAM50,0.5463917525773195,0.4497500137074747,0.7573853181162284
danenberg,ERStatus,0.8715596330275229,0.7891551996390707,0.9206197320737817
danenberg,ERBB2_pos,0.9484536082474226,0.8521497850526014,0.9244208370664277
danenberg,Grade,0.6797385620915033,0.48989496069801025,0.7800227883761153
cords,DX.name,0.8314726209463051,0.8207527233079448,0.9047382627633784
cords,Relapse,0.6187729417933928,0.6146184305805926,0.6476529277069022
cords,Grade,0.6391594054331112,0.5051496331946437,0.785350894742689
