dataset,feature,folds_used,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_auc_mean,cv_auc_std,oof_accuracy,oof_macro_f1,oof_auc,oof_accuracy_std,oof_macro_f1_std,oof_auc_std,min_class_count,n_total,n_eval
danenberg,PAM50,10,0.546334503950834,0.04328892062500768,0.44737797519888184,0.053093937369408144,0.7606681359081067,0.042660146038780794,0.5463917525773195,0.4497500137074747,0.7573853181162284,0.04328892062500768,0.053093937369408144,0.042660146038780794,69,679,679
danenberg,ERStatus,10,0.8717703349282295,0.05018678008034205,0.7861765737382622,0.0915997246570129,0.9139963443004321,0.06180774291467635,0.8715596330275229,0.7891551996390707,0.9206197320737817,0.05018678008034205,0.0915997246570129,0.06180774291467635,164,763,763
danenberg,ERBB2_pos,10,0.9485294117647058,0.03270015701991747,0.8401366227814139,0.11444451689245252,0.9245677205308352,0.06772799500610624,0.9484536082474226,0.8521497850526014,0.9244208370664277,0.03270015701991747,0.11444451689245252,0.06772799500610624,78,679,679
danenberg,Grade,10,0.6797334244702665,0.035391898182,0.4866523404501758,0.05449036845934913,0.7804265448597816,0.04985672248774965,0.6797385620915033,0.48989496069801025,0.7800227883761153,0.035391898182,0.05449036845934913,0.04985672248774965,70,765,765
cords,DX.name,10,0.8314674096588991,0.010438784919065153,0.820672976000768,0.010715059021721877,0.9057928004177338,0.011803775057992688,0.8314726209463051,0.8207527233079448,0.9047382627633784,0.010438784919065153,0.010715059021721877,0.011803775057992688,739,1881,1881
cords,Relapse,10,0.6187434554973821,0.04523818944247075,0.6139209658329274,0.045322217880273165,0.64620637295058,0.04837595930994272,0.6187729417933928,0.6146184305805926,0.6476529277069022,0.04523818944247075,0.045322217880273165,0.04837595930994272,888,1907,1907
cords,Grade,10,0.6391810570381999,0.03790147052818629,0.501871378107795,0.04358697638297725,0.7845817075671787,0.042500019056609294,0.6391594054331112,0.5051496331946437,0.785350894742689,0.03790147052818629,0.04358697638297725,0.042500019056609294,115,1951,1951
