dataset,feature,accuracy,macro_f1,auc
danenberg,ERStatus,0.8623853211009175,0.7722511079714245,0.9061647461215847
danenberg,Grade,0.6640522875816993,0.479539034534223,0.7803091469668105
danenberg,PAM50,0.5095729013254786,0.4202162081765245,0.7522075060645251
danenberg,ERBB2_pos,0.898379970544919,0.6615227898307289,0.8805836426468706
cords,DX.name,0.8437001594896332,0.8344336877300804,0.915701153402264
cords,Relapse,0.5857367593078133,0.5802003406258778,0.6165496335393293
cords,Grade,0.6355715017939518,0.48022599714768893,0.7589974207432997
