dataset,feature,folds_used,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_auc_mean,cv_auc_std,oof_accuracy,oof_macro_f1,oof_auc,oof_accuracy_std,oof_macro_f1_std,oof_auc_std,min_class_count,n_total,n_eval
danenberg,ERStatus,10,0.8625256322624744,0.04359046103265481,0.7694231642032239,0.08648672234967486,0.9041411183117314,0.054639700487064714,0.8623853211009175,0.7722511079714245,0.9061647461215847,0.04359046103265481,0.08648672234967486,0.054639700487064714,164,763,763
danenberg,Grade,10,0.663961038961039,0.03252107623389607,0.47724709145739447,0.0431389086940308,0.7799879952745573,0.03885694937909392,0.6640522875816993,0.479539034534223,0.7803091469668105,0.03252107623389607,0.0431389086940308,0.03885694937909392,70,765,765
danenberg,PAM50,10,0.50941615452151,0.05598133308054374,0.41604090564031004,0.06225965623407609,0.7551792836705056,0.028606561200127528,0.5095729013254786,0.4202162081765245,0.7522075060645251,0.05598133308054374,0.06225965623407609,0.028606561200127528,69,679,679
danenberg,ERBB2_pos,10,0.8984855136084283,0.03816240685007441,0.66038565369911,0.1054681944567904,0.8799873145979703,0.05963080359966689,0.898379970544919,0.6615227898307289,0.8805836426468706,0.03816240685007441,0.1054681944567904,0.05963080359966689,78,679,679
cords,DX.name,10,0.8436873803895081,0.018218442577602592,0.8343237745466014,0.019560519565468497,0.9157742492186554,0.012995996114255181,0.8437001594896332,0.8344336877300804,0.915701153402264,0.018218442577602592,0.019560519565468497,0.012995996114255181,739,1881,1881
cords,Relapse,10,0.58572333976302,0.02433540527765933,0.5789134598429729,0.027425842045174446,0.6160744067219015,0.03776582639891694,0.5857367593078133,0.5802003406258778,0.6165496335393293,0.02433540527765933,0.027425842045174446,0.03776582639891694,888,1907,1907
cords,Grade,10,0.6355756148613292,0.028583810675434453,0.4788490164855494,0.03187253102174513,0.7629508481578358,0.03483493866686051,0.6355715017939518,0.48022599714768893,0.7589974207432997,0.028583810675434453,0.03187253102174513,0.03483493866686051,115,1951,1951
