dataset,feature,accuracy,macro_f1,auc
danenberg,ERStatus,0.836173001310616,0.6940844022337052,0.8963923612524939
danenberg,Grade,0.6627450980392157,0.4517825832846289,0.7686473329624389
danenberg,PAM50,0.5331369661266568,0.42118130476157833,0.74354619116146
danenberg,ERBB2_pos,0.9278350515463918,0.7672461436216726,0.9131788898843807
cords,Relapse,0.5731515469323545,0.5625407221201429,0.6096171613222644
cords,DX.name,0.8128654970760234,0.8010169858271123,0.8895926004042951
cords,Grade,0.6330087134802665,0.47879163190765955,0.773133678478608
