dataset,feature,folds_used,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_auc_mean,cv_auc_std,oof_accuracy,oof_macro_f1,oof_auc,oof_accuracy_std,oof_macro_f1_std,oof_auc_std,min_class_count,n_total,n_eval
danenberg,ERStatus,10,0.8363123718386877,0.03997670910451196,0.6888149825625389,0.0872653383126091,0.8963295530076436,0.052706980701495834,0.836173001310616,0.6940844022337052,0.8963923612524939,0.03997670910451196,0.0872653383126091,0.052706980701495834,164,763,763
danenberg,Grade,10,0.6627648667122352,0.02420486352711651,0.4510810000610851,0.018679253999493838,0.7690151488483705,0.031348327824254035,0.6627450980392157,0.4517825832846289,0.7686473329624389,0.02420486352711651,0.018679253999493838,0.031348327824254035,70,765,765
danenberg,PAM50,10,0.5330772607550482,0.02886172559983517,0.41902930800876936,0.037806307115779196,0.7458505415837748,0.04029351890688119,0.5331369661266568,0.42118130476157833,0.74354619116146,0.02886172559983517,0.037806307115779196,0.04029351890688119,69,679,679
danenberg,ERBB2_pos,10,0.9278972783143107,0.038199979805382304,0.733773754812457,0.18117185309900477,0.9208177205308352,0.05740792921419601,0.9278350515463918,0.7672461436216726,0.9131788898843807,0.038199979805382304,0.18117185309900477,0.05740792921419601,78,679,679
cords,Relapse,10,0.5731082942959492,0.03953312050484168,0.5612922325314855,0.04511289947230485,0.606949561446561,0.042231022680159054,0.5731515469323545,0.5625407221201429,0.6096171613222644,0.03953312050484168,0.04511289947230485,0.042231022680159054,888,1907,1907
cords,DX.name,10,0.8128869751210177,0.022988009496125707,0.8008212210734413,0.025291360122313377,0.8901037373224765,0.013889335514607151,0.8128654970760234,0.8010169858271123,0.8895926004042951,0.022988009496125707,0.025291360122313377,0.013889335514607151,739,1881,1881
cords,Grade,10,0.633021978021978,0.0286188790725617,0.47742481518479973,0.03367598028914667,0.7727701272225799,0.029370816351888186,0.6330087134802665,0.47879163190765955,0.773133678478608,0.0286188790725617,0.03367598028914667,0.029370816351888186,115,1951,1951
